Sample_ID,Collection_site,Maturity
Drake1,PRNS CA,5
Drake2,PRNS CA,6
Drake3,PRNS CA,2
Drake4,PRNS CA,6.5
Drake5,PRNS CA,4.5
Drake6,PRNS CA,5
Drake7,PRNS CA,4
Drake8,PRNS CA,4
Drake9,PRNS CA,2.3
Pet1,PRNS CA,4.5
Pet2,PRNS CA,7
Pet3,PRNS CA,7
Pet4,PRNS CA,7
Picnic1,TBSP CA,2
Picnic2,TBSP CA,4.5
Picnic3,TBSP CA,4.5
Picnic4,TBSP CA,2
Picnic5,TBSP CA,4.5
Picnic6,TBSP CA,3.5
Aso1,Hungrary,5
Champ2,France,7
Doc1,Hungrary,5
Doc2,Hungrary,4
Doc3,Hungrary,7
Doc4,Hungrary,5
Gron7,Norway,5
Gron8,Norway,6
Gron9,Norway,6
Lamp1,France,6
Lamp2,France,7
Lamp4,France,4
Lamp5,France,4
Lamp6,France,4
Lamp8,France,7
Quill1,France,3
Tisza2,Hungrary,5
Tisza3,Hungrary,6
